Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate
Trial # 64,layer0-5_O11_to_T1.jpg,layer0-5/layer0-5_O11_to_T1.jpg,OT,layer0-5,0,63,63,63,,,,,,,,,401.6314754,None,1,1.580063199,401.6314754,None,401.6314754,None,401.6314754,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 65,layer6-8_T5_to_T9.jpg,layer6-8/layer6-8_T5_to_T9.jpg,TT,layer6-8,0,64,64,64,,,,,,,,,403.3144962,None,3,2.863092232,403.3144962,None,403.3144962,None,403.3144962,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 66,layer0-5_T4_to_T7.jpg,layer0-5/layer0-5_T4_to_T7.jpg,TT,layer0-5,0,65,65,65,,,,,,,,,406.299194,None,1,2.361396331,406.299194,None,406.299194,None,406.299194,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 67,layer0-5_O2_to_O6.jpg,layer0-5/layer0-5_O2_to_O6.jpg,OO,layer0-5,0,66,66,66,,,,,,,,,408.7658111,None,1,1.274186839,408.7658111,None,408.7658111,None,408.7658111,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 68,layer9-17_O12_to_T3.jpg,layer9-17/layer9-17_O12_to_T3.jpg,OT,layer9-17,0,67,67,67,,,,,,,,,410.1506895,None,2,2.807368604,410.1506895,None,410.1506895,None,410.1506895,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 69,layer9-17_O7_to_O9.jpg,layer9-17/layer9-17_O7_to_O9.jpg,OO,layer9-17,0,68,68,68,,,,,,,,,413.0520994,None,3,4.584097243,413.0520994,None,413.0520994,None,413.0520994,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 70,layer9-17_T1_to_T8.jpg,layer9-17/layer9-17_T1_to_T8.jpg,TT,layer9-17,0,69,69,69,,,,,,,,,417.7370451,None,3,5.560139182,417.7370451,None,417.7370451,None,417.7370451,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 71,layer0-5_O3_to_T8.jpg,layer0-5/layer0-5_O3_to_T8.jpg,OT,layer0-5,0,70,70,70,,,,,,,,,423.4375883,None,1,4.054557317,423.4375883,None,423.4375883,None,423.4375883,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 72,layer9-17_O9_to_T2.jpg,layer9-17/layer9-17_O9_to_T2.jpg,OT,layer9-17,0,71,71,71,,,,,,,,,427.5897068,None,3,27.87307708,427.5897068,None,427.5897068,None,427.5897068,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 73,layer9-17_O5_to_O7.jpg,layer9-17/layer9-17_O5_to_O7.jpg,OO,layer9-17,0,72,72,72,,,,,,,,,455.5807285,None,2,2.503932647,455.5807285,None,455.5807285,None,455.5807285,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 74,layer0-5_T11_to_T9.jpg,layer0-5/layer0-5_T11_to_T9.jpg,TT,layer0-5,0,73,73,73,,,,,,,,,458.1818725,None,1,1.596973262,458.1818725,None,458.1818725,None,458.1818725,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 75,layer0-5_O11_to_T12.jpg,layer0-5/layer0-5_O11_to_T12.jpg,OT,layer0-5,0,74,74,74,,,,,,,,,459.8984933,None,1,1.992626467,459.8984933,None,459.8984933,None,459.8984933,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 76,layer9-17_T7_to_T9.jpg,layer9-17/layer9-17_T7_to_T9.jpg,TT,layer9-17,0,75,75,75,,,,,,,,,462.0006129,None,3,3.924403413,462.0006129,None,462.0006129,None,462.0006129,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 77,layer6-8_O6_to_T2.jpg,layer6-8/layer6-8_O6_to_T2.jpg,OT,layer6-8,0,76,76,76,,,,,,,,,466.0176436,None,2,2.99672175,466.0176436,None,466.0176436,None,466.0176436,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 78,layer9-17_T4_to_T5.jpg,layer9-17/layer9-17_T4_to_T5.jpg,TT,layer9-17,0,77,77,77,,,,,,,,,469.1179343,None,2,17.88876154,469.1179343,None,469.1179343,None,469.1179343,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 79,layer0-5_T2_to_T4.jpg,layer0-5/layer0-5_T2_to_T4.jpg,TT,layer0-5,0,78,78,78,,,,,,,,,487.1414948,None,1,2.616264981,487.1414948,None,487.1414948,None,487.1414948,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
Trial # 80,layer0-5_T2_to_T8.jpg,layer0-5/layer0-5_T2_to_T8.jpg,TT,layer0-5,0,79,79,79,,,,,,,,,489.858383,None,1,3.06452707,489.858383,None,489.858383,None,489.858383,None,,,bei,1,2022_Apr_05_1630,Semantic-hierachy,2021.1.2,59.80963765
